ID,text,target,label,clean_text
ynat-v1_train_00013,아이`XSI수리0* b대`…맥3 디dF레< 41/',4,IT과학,아이엑스시스템 b대…맥북
ynat-v1_train_00014,"문/인 당2 4nS 민관2동7사위 /""X보 철거tt",2,정치,문재인 당대표 4선 민관동시위 /X보 철거
ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,0,생활문화,게시판 KISA 박민정 책임연구원 APTLD 이사 선출
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3,사회,공사업체 협박에 분쟁해결 명목으로 돈 받은 언론인에 대한 집행유예
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5,경제,월세 전환에 늘어나는 주거비 부담… 작년 역대 최고의 주거비
ynat-v1_train_00018,개R전 연w정연H 작가,0,생활문화,개전 연정연 작가
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2,정치,페이스북 인터넷 드론 아쿠일라 실물 첫 시험 비행 성공
ynat-v1_train_00020,추신수 타율 0.265로 시즌 마감…최지만은 19홈런·6...,1,스포츠,추신수 타율 0.265로 시즌 마감…최지만은 19홈런·6타수
ynat-v1_train_00021,KIA I수단·팬nI께하는:호kQ4M족 한마5 S최,1,스포츠,KIA 수단·팬들에게하는 호크족 한마디 최강
ynat-v1_train_00022,현N차sJ <e 임원6늘려…~세z 리g (보j 육y,3,사회,현차시장 늘려…세계 리더 (보급 육성
ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길...,6,세계,아시안게임 목소리 높인 박항서 베트남이 일본 못 이기는... 
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1,스포츠,서울에 다시 오존주의보…도심 서북 동북권 발령
ynat-v1_train_00025,-선 폭:n@ 현장N조Z,3,사회,선 폭력 현장조사
ynat-v1_train_00026,STJ레콤 J분기 영D익t4천105t…2>1％ 증가,5,경제,STJ레콤 제4분기 영업이익 1만5천105…2% 증가
ynat-v1_train_00027,생r인증②_D안*a제bK 유@되면 대J _가끝,4,IT과학,생체인증_D안제 유도면 대가 끝
ynat-v1_train_00028,GD n{n.강d}감독 2로축구연맹WS7(0/회부,1,스포츠,GD 강감독 2로 축구연맹 Ws(0회 부정
ynat-v1_train_00029,"p-축구M인천 ,qN 35c운드 r&Q{영`",1,스포츠,프로축구 인천 35라운드 경기
ynat-v1_train_00030,해외로밍 m금폭탄 n동차단 더 빨$진다,4,IT과학,해외로밍 금융폭탄 동차단 더 빨라진다
ynat-v1_train_00031,세계K인무역협회 올S#$'2 무역인 1천b55w 배출한(,3,사회,세계인무역협회 올해 무역인 1천55만 배출한
ynat-v1_train_00032,박항C 매직c베트남i축구_표팀K.?^# 쏟;*:d,1,스포츠,박항서 매직 베트남 축구_표팀
ynat-v1_train_00033,학~ 석면 S거 규정k지키5,3,사회,학술 석면 사용 규정 지키기5
ynat-v1_train_00034,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개 육박,4,IT과학,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개가 육박
ynat-v1_train_00035,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모,0,생활문화,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모
ynat-v1_train_00036,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,5,경제,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발
ynat-v1_train_00037,"dcST C, 생산 인공광Fy에d""기보다BS에*!6활ht""y@적",4,IT과학,"dc스톨 C, 생산 인공광에 개발된 BS에 6활용 y적"
ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀…한국 좋아요,5,경제,마틴 우리카드 코치로 V리그 복귀…한국 좋아해요
ynat-v1_train_00039,LG G8 씽큐 15일부터 예판…디스플레이 1회 무상교체 혜택,2,정치,LG G8 씽큐 15일부터 예약…디스플레이 1회 무상교환 혜택
ynat-v1_train_00040,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,6,세계,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수
ynat-v1_train_00041,다저스 _버츠 감독J류현4 담당 포수!최! 환^ 만들P...,1,스포츠,다저스 버츠 감독 류현4 담당 포수 최환 만들...
ynat-v1_train_00042,W;E& F일 연k상t의장 G견u창조경제 논의,2,정치,WEF 일련의장 견해창조경제 논의
ynat-v1_train_00043,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성,0,생활문화,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성
ynat-v1_train_00044,산업생산jQ8째 L고 제조1가동률은-금융위jS수yk합2보,5,경제,산업생산 제 8째로 제조가동률은 금융위수지 보합
ynat-v1_train_00045,x' 유^ 의H%eprM못gz고r사표…특별1LX제 흔들,3,사회,유리의 험난한 도전과 승리…특별한 제안 흔들
ynat-v1_train_00046,5자농R 4R은행f삼[m명 꺾$N$직@P {,1,스포츠,5자농구 4강은행삼명 꺾는 직관
ynat-v1_train_00047,"김종ll리먼 ^라더스 사태처럼 6Mq 충격@지속""KIN을 것",2,정치,김종일 리먼 크라더스 사태처럼 6월 충격 지속
ynat-v1_train_00048,"Vq)Z!\자o구 김정Re트로1$보니C.도l모르"".Qk이",1,스포츠,V자구 김정berto1보니C도모르Q이
ynat-v1_train_00049,"인국공I{태NL년D의 bT,무jlv공u{고?진보인가",3,사회,인국공대 20년의 부동산 공유?진보인가
ynat-v1_train_00050,"美MBA[여성 비율x계속 x가4주$E19a대 U입생 중Ym,%",6,세계,미국 MBA 여성 비율 계속 가4주제 19대 입생 중년%
ynat-v1_train_00051,근육조직 생성에 필수적인 열쇠 발견,0,생활문화,근육 조직 생성에 필수적인 열쇠를 발견
ynat-v1_train_00052,위클>&스PS)[플코리아7f] 한국서e얼마나 벌!을',4,IT과학,위클래스 플코리아7f 한국서얼마나 벌을
ynat-v1_train_00053,코로나 r대^등교)모습,3,사회,코로나 대등교 모습
ynat-v1_train_00054,"찍W ,fK는 즐거m T졌다…5개 카메: LG V40 z큐",4,IT과학,"찍먹, 펫는 즐거웠다…5개 카메라 LG V40"
ynat-v1_train_00055,스마트폰'b실 막는 스l트 트%커,4,IT과학,스마트폰의 실막는 스마트 트커
ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의종합,4,IT과학,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의 종합
ynat-v1_train_00057,"문대통령 김정*m트/프7 YTD 조속히H끝내고 A다고!,p2합",2,정치,문대통령 김정무위원장 YTD 조속히 끝내고 앞으로 합의
ynat-v1_train_00058,한#M2 !는 유`8 치료제 오B솔 美 임{ 3a 본격화,6,세계,한미2가는 유럽 치료제 오브솔 미국 임상 본격화
ynat-v1_train_00059,아사w 트K프 외교S험k없다고…i5오바I도]KR<8였-,6,세계,아스트프 외교 경험 없다고…오바도 KR였
ynat-v1_train_00060,공룡 파충류보다는 타조·매 등 새에 가깝다,2,정치,공룡 파충류보다 타조·매 등 새에 가깝다
ynat-v1_train_00061,대한항공 우리카드 꺾고 3연승…GS칼텍스 1라운드 전승종합,5,경제,대한항공 우리카드 꺾고 3연승…GS칼텍스 1라운드 전승종합
ynat-v1_train_00062,"CT|2fSSt0 877vA자 10만명 돌,",5,경제,CT2fSS10만명 돌파
ynat-v1_train_00063,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 1년,5,경제,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 한해
ynat-v1_train_00064,유라1아3경w연합r?회q상품/|M3교환 합의,5,경제,유라시아 경영연합회 상품/교환 합의
ynat-v1_train_00065,3부 리수cW^MT北d국제사회<-임M일원!V는데 기4JR9,2,정치,3부 리수미트 북한국제사회<-임금 일원인데 기부금
ynat-v1_train_00066,UEFA 챔스리그 4강 마드리드 더비 성사…레알 vs 아...,0,생활문화,UEFA 챔피언스리그 4강 마드리드 더비 성사…레알 vs 아틀레티코
ynat-v1_train_00067,x콩-P면금[T 나%\…g트=물J1h나고 지>철 %기고,6,세계,콩면 금나고 트레일러 물량 나고 지하철 기고
ynat-v1_train_00068,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,0,생활문화,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진
ynat-v1_train_00069,T선 D1v 울`B경i활성화;고용안S %&소7?합,2,정치,T선 디비 울경활성화;고용안정 %소득합
ynat-v1_train_00070,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모비시스 개막,3,사회,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모바일시스템 개막
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,2,정치,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니
ynat-v1_train_00072,獨 反이스라엘 테러 팔레스타인인 강연 차단…비자도 취소,3,사회,독립적인 이스라엘 테러 반대 팔레스타인인 강연 차단…비자도 취소
ynat-v1_train_00073,대한항공 인천∼바르셀로나 노선 첫 취항,1,스포츠,대한항공 인천~바르셀로나 노선 첫 취항
ynat-v1_train_00074,월드9U천재 사령탑 S시코 !'O오 감독 한국전R...,1,스포츠,월드 천재 사령탑 시코 오 감독 한국전...
ynat-v1_train_00075,특O:H6호에k' Gc모&h금조달에 52P 신고가,5,경제,특수:6호에 금조달에 52신고가
ynat-v1_train_00076,北조국통!민주X#전선 결성 <0돌 중;보고회 열x,2,정치,북조선 민주당 전선 결성 <0>돌 중보고회 열기
ynat-v1_train_00077,"aGma일!리""c $산 _R…법정=l 내 처리>W요",5,경제,암호화폐 거래소 법정 내 처리 요건
ynat-v1_train_00078,대구·경북 고용유지지원금 신청 폭주…2∼3월 7천550건,5,경제,대구경북 고용유지지원금 신청 폭주…2∼3월 7천550건
ynat-v1_train_00079,본t카 애스턴마틴 Sp라 국내 4P…500대g 생산,0,생활문화,본카 애스턴마틴 스파 국내 4P…500대 생산
ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역2년…악의적 공격 반복종합,5,경제,태블릿PC 조작설 변희재 1심 징역 2년…악의적 공격 반복 종합
ynat-v1_train_00081,한산한 성산일출봉 주차장,3,사회,한산한 성산일출봉 주차장
ynat-v1_train_00082,추신수 시g경기~o종^ 2j넷b타율|0.21u,1,스포츠,추신수 시리즈 종료 2연타율 0.21
ynat-v1_train_00083,#Ca유영준:왕웨이+ $직 조심스러워…h구 h 805+)내,1,스포츠,류영준: 왕웨이 + 직조심스러워…후구 805 내
ynat-v1_train_00084,ip*한국사이버[제 U분기 영업익ux0u원?!.G$ 감소,5,경제,ip 한국사이버 제2분기 영업익 원가 감소
ynat-v1_train_00085,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용,5,경제,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용
ynat-v1_train_00086,~리비{3Qn'9 신분 변:+허용…의료u서로 사전w입p해야,6,세계,~리비아 3분의 9 신분 변호용… 의료서로 사전입해야
ynat-v1_train_00087,"수능 6?'{=""원)%&G울 문O서 h개한 \꽃Z",0,생활문화,수능 6학년 원어민 교사 한 꽃집
ynat-v1_train_00088,증시신상품 국채선물 인버스 ETF 3종,6,세계,증시 신상품 국채 선물 인버스 ETF 3종
ynat-v1_train_00089,"SHT 내비게s션cTW&/ 국민h,!p yi",3,사회,SHT 내비게이션 국민이
ynat-v1_train_00090,서울문고 N풍그U에 인수… f라인서점 교m영풍y양강d도로,0,생활문화,서울문고 눈과 바람에 인수… 라인서점 교영풍 양강도로
ynat-v1_train_00091,온*으Q 한방 바Z_를 느끼다…|천~한방D스N D20,3,사회,온누리 한방을 느끼다…천한방 의류 D20
ynat-v1_train_00092,F% 전ZD78개 tn2a매\서 :<[+T 체험pjX ~련,4,IT과학,F 전자 78개 단말매체 :[+T 체험 pjX련
ynat-v1_train_00093,문대통령 호주 총리와 축구 평가전 1대1 무승부 축하,1,스포츠,문 대통령 호주 총리와 축구 평가전 1대1 무승부 축하
ynat-v1_train_00094,"멀티골 j순형 u로축구 pB그1 1""\운드FXVP",1,스포츠,멀티골 조순형으로 축구 프로그램
ynat-v1_train_00095,흥국운용 2천350억원 중순위 인수금융펀드 1호 결성 완료,0,생활문화,흥국운용 2천350억원 중순위 인수금융펀드 1호 결성 완료
ynat-v1_train_00096,"LGh UIo]에""구글kO~fNP !T…G+[피커 없,H _용",4,IT과학,LGIUI에구글IT…G 피커 없용
ynat-v1_train_00097,종이 ~면 ~어도$삼z중공/ 3Dxp델로 설> s증받는다,4,IT과학,종이면 어디서든 삼중공/ 3D 모델로 설계받는다
ynat-v1_train_00098,올#%서5외i어s울h증 oIp자Ej역#o m,4,IT과학,올해의 최고 이수증 얻는 이역모
ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,1,스포츠,북한 무수단 발사 대기권 재진입 기술 확보 여부가 관건
ynat-v1_train_00100,北 서방에 백두산 연구 먼저 제의…과학외교 활발,5,경제,북한 서방에 백두산 연구 먼저 제안…과학 외교 활발
ynat-v1_train_00101,~학농구리- 8일 고려대중앙대 경pt 개막,1,스포츠,~학 농구 리- 8일 고려대 중앙대 경기를 개막
ynat-v1_train_00102,코스피 미국발 악재에 또 급락…2360대로 털썩,0,생활문화,코스피 미국발 악재에 또 급락…2360대로 떨어짐
ynat-v1_train_00103,"D도t ,{2자 ;H대, 교육·j@y목적d<WsU허",5,경제,"도시 대형 대, 교육·유소년 목적 대형 주택"
ynat-v1_train_00104,승리에도 침통했던 박기원 감독 엔진을 끈 것 같다,0,생활문화,승리에도 침체된 박기원 감독 엔진을 끈 것 같다
ynat-v1_train_00105,K^한국관광공사X업무y약@체결,3,사회,한국관광공사 업무 협약 체결
ynat-v1_train_00106,프로축구2부 부천 안산과 11 무승부,0,생활문화,프로축구 2부 부천과 안산이 11 무승부
ynat-v1_train_00107,프랑스 마N}의 이I 대\- G7 ;청설 c인,6,세계,프랑스 만의 이대 G7 청년
ynat-v1_train_00108,속(지역 도시 난개발L방C^zcv개정안 발의 놓d B등,3,사회,속(지역 도시 난개발방지 개정안 발의 놓여
ynat-v1_train_00109,}독Q멈=선  데L수M원대[면~점·2p 인;도 무산,5,경제,독점 멈추는 데 수원대면점·2인 도서 무산
ynat-v1_train_00110,y=sc럼*광합성하h f공장W 개발,4,IT과학,yescrum 광합성하기 공장W 개발
ynat-v1_train_00111,세아트 드라이빙 시뮬레이터,5,경제,세아트 드라이빙 시뮬레이터
ynat-v1_train_00112,"與비박계 내일}""단'당…개혁보수신당E!당추진위 M동",2,정치,与비박계 내일 단'당…개혁보수신당 당추진위 문동
ynat-v1_train_00113,신간 Z끗 g이`V자cJ법>{코뮤니3트?33,0,생활문화,신간 주인공이 자꾸 법을 범한 COMMUNITY
ynat-v1_train_00114,땅 파= 코l나 격리시설 탈출한 외국인 청_서 VS,3,사회,땅 파고 코나 격리시설 탈출한 외국인 청소년 VS
ynat-v1_train_00115,최병륜 울산MBC 사장,4,IT과학,최병륜 울산MBC 사장
ynat-v1_train_00116,전광인4없어도 한국전L FTV4컵서 현:캐피탈 격파종합,1,스포츠,전광인없어도 한국전파 FTV컵서 현캐피탈 격파종합
ynat-v1_train_00117,어촌으로 봄 여행 떠나볼까…해수부 체험 마을 20곳 추천,2,정치,어촌으로 봄 여행 떠나볼까…해수부 체험 마을 20곳 추천
ynat-v1_train_00118,러 우주로켓 벼락 맞고도 멀쩡…탑재 위성 정상궤도 올려,3,사회,러시아 우주로켓 폭격 맞고도 멀쩡…탑재 위성 정상궤도 올려
ynat-v1_train_00119,게시판 인터넷신문위원회 언론분쟁 대처 교육,1,스포츠,게시판 인터넷신문위원회 언론분쟁 대처 교육
ynat-v1_train_00120,朴t)령 北Ph각한 균s조짐…i}동요f가LU~Hj종합,2,정치,박정령 북한 균형조짐…이동요가 증가
ynat-v1_train_00121,"손경w ,J 회V e즈베fym관% 협력방안 9의",5,경제,손경회 예스베이미관 협력방안 의안
ynat-v1_train_00122,_대통령·시도P]y일e리g언…지`이 고용-R 주역종합,2,정치,_대통령·시도지사례언…지적 고용률 주역종합
ynat-v1_train_00123,"157㎞ 조:우 선동, _독%과Wk께PAG 5전i고>",1,스포츠,"157km 조우 선동, 독과시합 5전고"
ynat-v1_train_00124,발언하\ 박광E,2,정치,발언하 박광현
ynat-v1_train_00125,2자배구}대k팀*코7진 구성 완료…트R}너에 정기혁,1,스포츠,2자배구대기 팀코치 구성 완료…트레이너 정기혁
ynat-v1_train_00126,날씨-미z먼지 보통 수y…오후부터 xJ지고:곳곳 F12일,0,생활문화,날씨-미세먼지 보통 수준…오후부터 집중지고 곳곳 12일
ynat-v1_train_00127,선두5도X공사*GS칼텍$^K;dhb현Q#i탈7m연승]합,1,스포츠,선두도 공사 GS칼텍스 현타가 연승합
ynat-v1_train_00128,수( 이F[I인an고3 수<생N확L 잇I]…교7 당국5.각,3,사회,수능 이인안고 3수생 확률 잇…교당국 5.각
ynat-v1_train_00129,20T9년s제1회 외K인투자~정@협의회,5,경제,2020년 제1회 외인투자정협의회
ynat-v1_train_00130,"게$판,QK텔d크_아이폰4O아이U}<TyF매 이벤트",4,IT과학,"게임판,텔레크로스 아이폰4 아이유 이벤트"
ynat-v1_train_00131,모멘트 학교 급식U4칸막이lx곡,3,사회,모멘트 학교 급식 4칸막이록
ynat-v1_train_00132,"올해iEIDFO*상에 멀리 개 짖는 소w가 들""S",0,생활문화,올해 이달의상에 멀리 개 짖는 소가 들린
ynat-v1_train_00133,?씨D m년 h업8 16<K*…h4.8%3,5,경제,씨씨마트 m년 h업 16%…h4.8%3
ynat-v1_train_00134,코오롱플라스틱 1분기 연결 영업익 58억원…138%↑,6,세계,코오롱플라스틱 1분기 연결 영업이익 58억원…138%상승
ynat-v1_train_00135,!대+화점 팝 pvhv`V트Y랩 진T,0,생활문화,대화점 팝트래핑 진료
ynat-v1_train_00136,xW리 a)엔 예비후0V사전여론조사 결과 유출 논c,2,정치,열리게 예비후보사전여론조사 결과 유출 논란
ynat-v1_train_00137,2017 올해의연극 베스트3 오른 옥상 밭 고추는 왜 재공연,4,IT과학,2017 올해의 연극 베스트3 오른 옥상 밭 고추는 왜 재연
ynat-v1_train_00138,삼성 빅스. 개발자데KS1B월 서울B 첫 +최,4,IT과학,삼성 빅데이터 개발자들 1월 서울 첫 최
ynat-v1_train_00139,떼었S 붙였다 액세서리Y 스마C폰 업U레이드,4,IT과학,떼었고 붙였다 액세서리 스마트폰 업데이트
ynat-v1_train_00140,무등산에서 광주지역 올해 첫 얼음 관찰,5,경제,무등산에서 광주지역 올해 첫 얼음 관찰
ynat-v1_train_00141,"알림톡 무단 +송·pRL,5출 $카(*DF징q",4,IT과학,"알림톡 무단 송신,5출 카드징수"
ynat-v1_train_00142,朴대통령 與 TK 국회의원과 110분 면담…사드 민심 청취,0,생활문화,박대통령과 TK 국회의원과 110분 면담…사드 민감성 청취
ynat-v1_train_00143,지소미아 종료까지 8일…美 압박 속 고민 깊어지는 文대통령,4,IT과학,지소미아 종료까지 8일…미국 압박 속 고민 깊어지는 文대통령
ynat-v1_train_00144,호텔서 스타 셰프 음식 만난다…더플라자 레스토랑 4곳 오픈,4,IT과학,호텔서 스타 셰프 음식 만난다…더 플라자 레스토랑 4곳 오픈
ynat-v1_train_00145,우리은행 박혜진 연봉 3억원으로 2년 연속 연봉 퀸,0,생활문화,우리은행 박혜진 연봉 3억원으로 2년 연속 연봉왕
ynat-v1_train_00146,# 친박 원내L표Oi보\유Z G단B화J홍문<.8$>도T종합,2,정치,친박 원내대표로 부른 고단화 홍문도 종합
ynat-v1_train_00147,도자기g작품_E상O%{$람객들,0,생활문화,도자기 작품_생 рам객들
ynat-v1_train_00148,시리보다 내가 낫다…빅스비의 세로드립 도발종합,2,정치,시리보다 내가 낫다…빅스비의 세로립 도발 종합
ynat-v1_train_00149,분당X'k gIdi}X'3·1 야ekK대^)t대립,2,정치,분당3·1 야권대립
ynat-v1_train_00150,11월 소비자 지갑을 열어라…유통업계 할인 경쟁 격화,6,세계,11월 소비자 지갑을 열어라…유통업계 할인 경쟁 격화
ynat-v1_train_00151,한국형 발사체 75t 엔진 첫 연소시험 성공,2,정치,한국형 발사체 75톤 엔진 첫 연소시험 성공
ynat-v1_train_00152,김정은 $향gIx x산시 za,2,정치,김정은 향기가 있는 산시자
ynat-v1_train_00153,힐만 감독 산체스 15∼16일 불펜에서 대기,6,세계,힐만 감독 산체스 15∼16일 불펜에서 대기
ynat-v1_train_00154,[반기 전}FjQQ 74Q여z…L년보~ 3.1%↓,5,경제,[반기 전] 74년보다 3.1%↓
ynat-v1_train_00155,S.수협은. 공공주택8</보)금 &보!y8출:,5,경제,S.수협은 공공주택(보)금 보유출
ynat-v1_train_00156,GS칼텍스 IBK기업은행과 세터 이나연↔이고은 트레이드,5,경제,GS칼텍스 IBK기업은행과 세터 이나연↔이고은 트레이드
ynat-v1_train_00157,"사법부 판결…불*:6U@Jx~(s }H AI.6f4,X터",3,사회,"사법부 판결…불합격 6명이 AI.6f4,X터"
ynat-v1_train_00158,최고V원중9의원@{FU*에U\;x하는6A교안,2,정치,최고원중의원들에게 과반수이상의 찬성하는 교안
ynat-v1_train_00159,中[정u 지방W민0투Ad실태K6L}착5,6,세계,중국 지방민 투표착착
ynat-v1_train_00160,KT안랩 통합TI·정보보안 서비스 개발 업무협약 체결,6,세계,KT안랩 통합TI 정보보안 서비스 개발 업무 협약 체결
ynat-v1_train_00161,S9XOC카cO트6온라인 F개강좌 공동 개설,3,사회,SOC카페 온라인 F개강좌 공동 개설
ynat-v1_train_00162,北당대회 나흘만에 일부 외신 취재허용…김정은 위원장 취임 발표,6,세계,북한 당대회 나흘만에 일부 외신 취재 허용…김정은 위원장 취임 발표
ynat-v1_train_00163,그C픽)서울9s1l 일강&-H-이,0,생활문화,그리픽)서울 일강이
ynat-v1_train_00164,日도쿄 주택가 공원 연못서 토막시신 발견,4,IT과학,일도쿄 주택가 공원 연못서 토막살해된 시신 발견
ynat-v1_train_00165,홍콩 시위 참여 여성 경찰서에서 알몸 수색 강요당해,1,스포츠,홍콩 시위 참여 여성 경찰서에서 알몸 검색 강요당해
ynat-v1_train_00166,삼성 세계 최초 후면 쿼드카메라 탑재 갤럭시A9 공개,1,스포츠,삼성 세계 최초 후면 쿼드카메라 탑재 갤럭시A9 공개
ynat-v1_train_00167,손흥민 AG대표팀 합류 시점은…31일 소집 참가 어려워,3,사회,손흥민 A대표팀 합류 시점은…31일 소집 참가 어려워
ynat-v1_train_00168,"(말\N 여행 aiq *#의 q…e을 반3는 ?딧M""<1짝",0,생활문화,말 여행 의뢰를 반한 빛
ynat-v1_train_00169,e5 >사채 @행V0.9조원…Or대비O55z↑,5,경제,e5 사채 행위 0.9조원…오르대비 55%↑
ynat-v1_train_00170,1이트삭oY:수 그S달 영입…4년- 7천34K= 달러,1,스포츠,1이트삭수 그룹 영입…4년 7천34만 달러
ynat-v1_train_00171,美이란 상대 국적자 체포 갈등…구금 중 학대 서로 비방,5,경제,美이란 상대국적자 체포 갈등…구금중 학대 서로 비방
ynat-v1_train_00172,美 미네소타r州H람M장 입구H 2격d 명 부상,6,세계,美 미네소타 주 람장 입구 2차격 명 부상
ynat-v1_train_00173,홍남기 미래부 1차관 서울혁신센터 등 방문,0,생활문화,홍남기 미래부 1차관 서울혁신센터 등 방문
ynat-v1_train_00174,"\페이오k중동서"".]Vx국fr동]Cr구…이란B고. 강L종Q",6,세계,페요중동서 프랑스국가...이란고 강종
ynat-v1_train_00175,북한 사이버 공격 집단 세계 은행들 상대 1천억 탈취종합,4,IT과학,북한 사이버 공격 집단 세계 은행들 상대 1천억 원 탈취
ynat-v1_train_00176,北발사체에 미일 당국자 통화…한미일 협력 확인,0,생활문화,북발사체에 미일 당국자 통화…한미일 협력 확인
ynat-v1_train_00177,명! 옮p 는 즐Y움…필사 3문.지 문u^q간,0,생활문화,명랑 옮는 즐람…필사 3문지 문간
ynat-v1_train_00178,한sS3 파Sr사]&동반성장 협X식,5,경제,한수3 파사동반성장 협약식
ynat-v1_train_00179,한국>Q/아/1i3명N키 m일본r의Q이+기…연극H={,0,생활문화,한국아일랜드 3명이 만든 일본의기...연극
ynat-v1_train_00180,LGR 러0 타사 고객d대상Wg럭시S8 =험단Mu~,4,IT과학,LGR 러타사 고객대상W럭시S8험단
ynat-v1_train_00181,사T인터l7신G Y v3투n해 미래 먹거리>o\x,4,IT과학,사이버인터넷 신기술 Y v3투자 해 미래 먹거리
ynat-v1_train_00182,포천아트밸리서 높이 45ｍ 절벽 배경 야간 공중쇼,1,스포츠,포천아트밸리서 높이 45m 절벽 배경 야간 공중 쇼
ynat-v1_train_00183,탈북민 착한봉사단 연천서 통일염원 벽화 그린다,1,스포츠,탈북민 착한봉사단 연천서 통일염원을 벽화로 그린다
ynat-v1_train_00184,프로농구 !울 SK 일` 교체 선수w L리엄스 영O,1,스포츠,프로농구 울산 SK 일대 교체 선수 Liam 영입
ynat-v1_train_00185,금융발전심의회 전체회의,2,정치,금융발전심의회 전체회의
ynat-v1_train_00186,KB증권 농심 4분기 라면 부문 실적개선…목표주가↑,6,세계,KB증권 농심 4분기 라면 부문 실적 개선…목표 주가 상승
ynat-v1_train_00187,반기문m유p{e 관저에>리2창 부부 초대 만찬…2년전|약속지켜,6,세계,반기문 유럽관저에 리창 부부 초대 만찬…2년전 약속지켜
ynat-v1_train_00188,"새누리 원내대표 CL 화|는,여소야대·계파",2,정치,"새누리 원내대표 CL 화면, 여소야대·계파"
ynat-v1_train_00189,400년 전 일본 건너간 조선 첫 여성도공 백파선,1,스포츠,400년 전 일본 건너간 조선 첫 여성도공 박파선
ynat-v1_train_00190,등[ 수BO확!%앞2 =aSO경,3,사회,등수 확대앞서 경쟁
